city,state,pop,query
Belmont,MA,27295,Belmont MA
Bridgeton,NJ,27263,Bridgeton NJ
Forney,TX,27256,Forney TX
Round Lake Beach,IL,27252,Round Lake Beach IL
Superior,WI,27244,Superior WI
Wooster,OH,27232,Wooster OH
New Lenox,IL,27214,New Lenox IL
Thomasville,NC,27203,Thomasville NC
Newtown,CT,27173,Newtown CT
Balch Springs,TX,27160,Balch Springs TX
Lindenhurst,NY,27148,Lindenhurst NY
Bristol,TN,27147,Bristol TN
Westport,CT,27141,Westport CT
Fremont,NE,27141,Fremont NE
Paducah,KY,27137,Paducah KY
McHenry,IL,27135,McHenry IL
Crestview,FL,27134,Crestview FL
Benicia,CA,27131,Benicia CA
Asheboro ,NC,27124,Asheboro  NC
Pearl,MS,27115,Pearl MS
Wakefield,MA,27090,Wakefield MA
Wasco,CA,27047,Wasco CA
Lemoore,CA,27038,Lemoore CA
Leesburg,FL,27000,Leesburg FL
South Pasadena,CA,26943,South Pasadena CA
South Windsor,CT,26918,South Windsor CT
Pemberton Township,NJ,26903,Pemberton Township NJ
Palm Springs,FL,26890,Palm Springs FL
Auburn,NY,26866,Auburn NY
Vernon Hills,IL,26850,Vernon Hills IL
Lebanon,PA,26814,Lebanon PA
Edwardsville,IL,26808,Edwardsville IL
Kernersville,NC,26793,Kernersville NC
Florence,AZ,26785,Florence AZ
South Salt Lake,UT,26777,South Salt Lake UT
Carrollton ,GA,26738,Carrollton  GA
Union City,GA,26738,Union City GA
Horn Lake,MS,26736,Horn Lake MS
Stevens Point,WI,26717,Stevens Point WI
Farmington,CT,26712,Farmington CT
Paramus,NJ,26698,Paramus NJ
Temple Terrace,FL,26690,Temple Terrace FL
Shoreview,MN,26670,Shoreview MN
Haines City,FL,26669,Haines City FL
Wilsonville,OR,26664,Wilsonville OR
Rosemount,MN,26642,Rosemount MN
Mint Hill,NC,26633,Mint Hill NC
Merrimack,NH,26632,Merrimack NH
Sanger,CA,26617,Sanger CA
Cabot,AK,26569,Cabot AK
Cabot,AR,26569,Cabot AR
Wheeling ,WV,26568,Wheeling  WV
Wall Township,NJ,26525,Wall Township NJ
Elmira,NY,26523,Elmira NY
Eureka,CA,26512,Eureka CA
Randolph,NJ,26504,Randolph NJ
South Portland,ME,26498,South Portland ME
Key West,FL,26444,Key West FL
Brawley,CA,26416,Brawley CA
Homewood,AL,26414,Homewood AL
Owatonna ,MN,26398,Owatonna  MN
Walpole,MA,26383,Walpole MA
Burlington,MA,26377,Burlington MA
East Chicago,IN,26370,East Chicago IN
Windsor,CA,26344,Windsor CA
Norco,CA,26316,Norco CA
Troy,OH,26305,Troy OH
Austin ,MN,26225,Austin  MN
Forest Grove,OR,26225,Forest Grove OR
Lodi,NJ,26206,Lodi NJ
Elk River ,MN,26192,Elk River  MN
Imperial Beach,CA,26137,Imperial Beach CA
Trussville,AL,26123,Trussville AL
Batavia,IL,26098,Batavia IL
Lockport,IL,26094,Lockport IL
Medina,OH,26094,Medina OH
Camas,WA,26065,Camas WA
Chanhassen,MN,26037,Chanhassen MN
Bessemer,AL,26019,Bessemer AL
Hercules,CA,26016,Hercules CA
Rockville Centre,NY,26016,Rockville Centre NY
Woodburn,OR,26013,Woodburn OR
Colleyville,TX,25986,Colleyville TX
Ridgewood,NJ,25979,Ridgewood NJ
Leland,NC,25974,Leland NC
Winona ,MN,25964,Winona  MN
El Cerrito,CA,25962,El Cerrito CA
Jenks,OK,25949,Jenks OK
West Melbourne,FL,25924,West Melbourne FL
Staunton,VA,25904,Staunton VA
Mansfield,CT,25892,Mansfield CT
Londonderry,NH,25826,Londonderry NH
Marshfield,MA,25825,Marshfield MA
Mercer Island,WA,25748,Mercer Island WA
Big Spring,TX,25735,Big Spring TX
Pooler,GA,25711,Pooler GA
Hazelwood,MO,25703,Hazelwood MO
Cliffside Park,NJ,25693,Cliffside Park NJ
Maplewood,NJ,25684,Maplewood NJ
Alton,IL,25676,Alton IL
Woodstock,IL,25630,Woodstock IL
Derby,KS,25625,Derby KS
West Chicago,IL,25614,West Chicago IL
Marysville,OH,25571,Marysville OH
Ottumwa,IA,25529,Ottumwa IA
Salem,VA,25523,Salem VA
Reading,MA,25518,Reading MA
Neenah,WI,25501,Neenah WI
Mahwah,NJ,25487,Mahwah NJ
Venice,FL,25463,Venice FL
Xenia,OH,25441,Xenia OH
Moscow ,ID,25435,Moscow  ID
Peekskill,NY,25431,Peekskill NY
Oxford,MS,25416,Oxford MS
Barstow,CA,25415,Barstow CA
Gladstone,MO,25410,Gladstone MO
Athens,AL,25406,Athens AL
Hudson,NH,25394,Hudson NH
Lafayette,CA,25391,Lafayette CA
Galt,CA,25383,Galt CA
Dedham,MA,25364,Dedham MA
Tumwater,WA,25350,Tumwater WA
Rockaway Township,NJ,25341,Rockaway Township NJ
Belvidere,IL,25339,Belvidere IL
Carteret,NJ,25326,Carteret NJ
Franklin,IN,25313,Franklin IN
Morton Grove,IL,25297,Morton Grove IL
Fitchburg,WI,25260,Fitchburg WI
Seal Beach,CA,25242,Seal Beach CA
Reedley,CA,25227,Reedley CA
Avon Lake,OH,25206,Avon Lake OH
Corsicana,TX,25203,Corsicana TX
Barberton,OH,25191,Barberton OH
Denison,TX,25179,Denison TX
Fulshear,TX,25169,Fulshear TX
Dickinson,ND,25167,Dickinson ND
Newport,RI,25163,Newport RI
Hastings,NE,25152,Hastings NE
Moses Lake,WA,25146,Moses Lake WA
Maywood,CA,25138,Maywood CA
Brandon,MS,25138,Brandon MS
Newberg,OR,25138,Newberg OR
Tarpon Springs,FL,25117,Tarpon Springs FL
Sandusky,OH,25095,Sandusky OH
Sugar Hill,GA,25076,Sugar Hill GA
Kingsville,TX,25069,Kingsville TX
Easton,MA,25058,Easton MA
Sebastian,FL,25054,Sebastian FL
Perrysburg,OH,25041,Perrysburg OH
Ridgefield,CT,25033,Ridgefield CT
Yarmouth,MA,25023,Yarmouth MA
Scotch Plains,NJ,24968,Scotch Plains NJ
Norfolk,NE,24955,Norfolk NE
Decatur ,GA,24928,Decatur  GA
Soledad,CA,24925,Soledad CA
Greenbelt,MD,24921,Greenbelt MD
Fort Dodge,IA,24871,Fort Dodge IA
Riverbank,CA,24865,Riverbank CA
West Milford,NJ,24862,West Milford NJ
University Park,TX,24849,University Park TX
Avon,OH,24847,Avon OH
Fairfax,VA,24835,Fairfax VA
Bainbridge Island,WA,24825,Bainbridge Island WA
Conway,SC,24809,Conway SC
Melrose Park,IL,24796,Melrose Park IL
Loma Linda,CA,24791,Loma Linda CA
San Benito,TX,24780,San Benito TX
Zanesville,OH,24765,Zanesville OH
Ardmore ,OK,24725,Ardmore  OK
Mauldin,SC,24724,Mauldin SC
Watertown,NY,24685,Watertown NY
Selma,CA,24674,Selma CA
Zion,IL,24655,Zion IL
Westford,MA,24643,Westford MA
Oak Harbor,WA,24622,Oak Harbor WA
Benbrook,TX,24605,Benbrook TX
Dinuba,CA,24563,Dinuba CA
Kalispell,MT,24558,Kalispell MT
Homer Glen,IL,24543,Homer Glen IL
Farmington,UT,24531,Farmington UT
Elmwood Park,IL,24521,Elmwood Park IL
Fort Mill,SC,24521,Fort Mill SC
West Memphis,AK,24520,West Memphis AK
West Memphis,AR,24520,West Memphis AR
Simsbury,CT,24517,Simsbury CT
Medford,NJ,24497,Medford NJ
Kerrville,TX,24477,Kerrville TX
Grandview,MO,24475,Grandview MO
Riverside,OH,24474,Riverside OH
Clinton,IA,24469,Clinton IA
Mandan,ND,24447,Mandan ND
Palmetto Bay,FL,24439,Palmetto Bay FL
Westmont,IL,24429,Westmont IL
Windham,CT,24425,Windham CT
Ponca City,OK,24424,Ponca City OK
Faribault ,MN,24420,Faribault  MN
Paris,TX,24407,Paris TX
North Augusta,SC,24379,North Augusta SC
Canton,MA,24370,Canton MA
Collinsville,IL,24366,Collinsville IL
Starkville,MS,24360,Starkville MS
Ridgeland,MS,24340,Ridgeland MS
South Plainfield,NJ,24338,South Plainfield NJ
Pelham,AL,24318,Pelham AL
Barnegat Township,NJ,24296,Barnegat Township NJ
Hingham,MA,24284,Hingham MA
Solon,OH,24262,Solon OH
North Haven,CT,24253,North Haven CT
Middleborough,MA,24245,Middleborough MA
Centerville,OH,24240,Centerville OH
Lisle,IL,24223,Lisle IL
Rolling Meadows,IL,24200,Rolling Meadows IL
Papillion,NE,24159,Papillion NE
Emporia ,KS,24139,Emporia  KS
Muskego,WI,24135,Muskego WI
White Bear Lake,MN,24130,White Bear Lake MN
Columbus,MS,24084,Columbus MS
Plainsboro Township,NJ,24084,Plainsboro Township NJ
Kingston,NY,24069,Kingston NY
Johnston,IA,24064,Johnston IA
Auburn,ME,24061,Auburn ME
Kankakee,IL,24052,Kankakee IL
Columbus,NE,24028,Columbus NE
Acton,MA,24021,Acton MA
Kuna,ID,24011,Kuna ID
Saginaw,TX,24011,Saginaw TX
Wadsworth,OH,24007,Wadsworth OH
Katy,TX,24005,Katy TX
Highland,IN,23984,Highland IN
Burlington Township,NJ,23983,Burlington Township NJ
Burlington,IA,23982,Burlington IA
Freeport,IL,23973,Freeport IL
Willoughby,OH,23959,Willoughby OH
San Fernando,CA,23946,San Fernando CA
Waukee,IA,23940,Waukee IA
Kenmore,WA,23914,Kenmore WA
Munster,IN,23894,Munster IN
South Elgin,IL,23865,South Elgin IL
Watertown,WI,23861,Watertown WI
Mansfield,MA,23860,Mansfield MA
Athens,OH,23849,Athens OH
Cranford,NJ,23847,Cranford NJ
Belton,TX,23845,Belton TX
Jacksonville Beach,FL,23830,Jacksonville Beach FL
Fountain Hills,AZ,23820,Fountain Hills AZ
Celina,TX,23811,Celina TX
De Pere,WI,23800,De Pere WI
Muscatine,IA,23797,Muscatine IA
Patterson,CA,23781,Patterson CA
Happy Valley,OR,23733,Happy Valley OR
Maple Heights,OH,23701,Maple Heights OH
Montgomery Township,NJ,23690,Montgomery Township NJ
Roseburg ,OR,23683,Roseburg  OR
Yukon,OK,23630,Yukon OK
Brookings ,SD,23577,Brookings  SD
Lexington,SC,23568,Lexington SC
Shelbyville,TN,23557,Shelbyville TN
Farmington,MN,23534,Farmington MN
Rock Springs,WY,23526,Rock Springs WY
Maywood,IL,23512,Maywood IL
Farragut,TN,23506,Farragut TN
Greenfield,IN,23488,Greenfield IN
Griffin ,GA,23478,Griffin  GA
Champlin,MN,23478,Champlin MN
Raritan Township,NJ,23447,Raritan Township NJ
Loves Park,IL,23397,Loves Park IL
North Platte,NE,23390,North Platte NE
Clinton,UT,23386,Clinton UT
Westerly,RI,23359,Westerly RI
Simpsonville,SC,23354,Simpsonville SC
Wilmington,MA,23349,Wilmington MA
Bedford,NH,23322,Bedford NH
Watauga,TX,23313,Watauga TX
Wareham,MA,23303,Wareham MA
Gardner,KS,23287,Gardner KS
Garden City,NY,23272,Garden City NY
Stoneham,MA,23244,Stoneham MA
Calabasas,CA,23241,Calabasas CA
Van Buren,AK,23218,Van Buren AK
Van Buren,AR,23218,Van Buren AR
Millbrae,CA,23216,Millbrae CA
Middletown,DE,23192,Middletown DE
Eustis,FL,23189,Eustis FL
Cartersville ,GA,23187,Cartersville  GA
Oakdale,CA,23181,Oakdale CA
Horizon City,TX,23162,Horizon City TX
Glassboro,NJ,23149,Glassboro NJ
Mequon,WI,23132,Mequon WI
Belton,MO,23116,Belton MO
Hudson,OH,23110,Hudson OH
Edgewater,FL,23097,Edgewater FL
Pickerington,OH,23094,Pickerington OH
Trotwood,OH,23070,Trotwood OH
Hialeah Gardens,FL,23068,Hialeah Gardens FL
Keene,NH,23047,Keene NH
Radcliff,KY,23042,Radcliff KY
Oxford,OH,23035,Oxford OH
Laguna Beach,CA,23032,Laguna Beach CA
Webster Groves,MO,22995,Webster Groves MO
Morris Township,NJ,22974,Morris Township NJ
Winchester,MA,22970,Winchester MA
Hopewell,VA,22962,Hopewell VA
Prairie Village,KS,22957,Prairie Village KS
Machesney Park,IL,22950,Machesney Park IL
Roxbury,NJ,22950,Roxbury NJ
Searcy,AK,22937,Searcy AK
Searcy,AR,22937,Searcy AR
Junction City ,KS,22932,Junction City  KS
Easley,SC,22921,Easley SC
New Brighton,MN,22902,New Brighton MN
Roselle,IL,22897,Roselle IL
Fernley,NV,22895,Fernley NV
Cudahy,CA,22811,Cudahy CA
North Plainfield,NJ,22808,North Plainfield NJ
Waynesboro,VA,22808,Waynesboro VA
Watertown ,SD,22722,Watertown  SD
Summit,NJ,22719,Summit NJ
Crystal,MN,22711,Crystal MN
Roselle,NJ,22695,Roselle NJ
Duncan ,OK,22692,Duncan  OK
Corinth,TX,22690,Corinth TX
Marshall,TX,22662,Marshall TX
Central Falls,RI,22583,Central Falls RI
Blue Island,IL,22558,Blue Island IL
Biddeford,ME,22552,Biddeford ME
Greenwood,SC,22545,Greenwood SC
Lincoln,RI,22529,Lincoln RI
Lyndhurst,NJ,22519,Lyndhurst NJ
Bristol,RI,22493,Bristol RI
Bonney Lake,WA,22487,Bonney Lake WA
East Peoria,IL,22484,East Peoria IL
Fairhope,AL,22477,Fairhope AL
La Porte,IN,22471,La Porte IN
Mountain Brook,AL,22461,Mountain Brook AL
Hillside,NJ,22456,Hillside NJ
Montville,NJ,22450,Montville NJ
Acworth,GA,22440,Acworth GA
Albertville,AL,22386,Albertville AL
Bloomingdale,IL,22382,Bloomingdale IL
Marina,CA,22359,Marina CA
Vernon Township,NJ,22358,Vernon Township NJ
Sunny Isles Beach,FL,22342,Sunny Isles Beach FL
Corcoran,CA,22339,Corcoran CA
Clarksville,IN,22333,Clarksville IN
Coralville,IA,22318,Coralville IA
Villa Park,IL,22263,Villa Park IL
DeBary,FL,22260,DeBary FL
West Deptford Township,NJ,22197,West Deptford Township NJ
Secaucus,NJ,22181,Secaucus NJ
East Ridge,TN,22167,East Ridge TN
Ruston,LA,22166,Ruston LA
Evans,CO,22165,Evans CO
Smithfield,RI,22118,Smithfield RI
Watertown,CT,22105,Watertown CT
Essex,VT,22094,Essex VT
Guilford,CT,22073,Guilford CT
Oxford,AL,22069,Oxford AL
Chillicothe,OH,22059,Chillicothe OH
Lower Township,NJ,22057,Lower Township NJ
Darien,IL,22011,Darien IL
Pascagoula,MS,22010,Pascagoula MS
Sanford,ME,21982,Sanford ME
Scarborough,ME,21982,Scarborough ME
Portsmouth,NH,21956,Portsmouth NH
Port Hueneme,CA,21954,Port Hueneme CA
Shelby ,NC,21947,Shelby  NC
Golden Valley,MN,21942,Golden Valley MN
Sapulpa ,OK,21929,Sapulpa  OK
New Castle,PA,21926,New Castle PA
Hastings ,MN,21925,Hastings  MN
North Salt Lake,UT,21907,North Salt Lake UT
Gallup,NM,21899,Gallup NM
South Euclid,OH,21883,South Euclid OH
Carbondale,IL,21857,Carbondale IL
American Canyon,CA,21837,American Canyon CA
Columbia Heights,MN,21835,Columbia Heights MN
Del City,OK,21822,Del City OK
Klamath Falls ,OR,21813,Klamath Falls  OR
Sulphur,LA,21809,Sulphur LA
Tukwila,WA,21798,Tukwila WA
Brunswick,ME,21756,Brunswick ME
Rocky River,OH,21755,Rocky River OH
Yucca Valley,CA,21738,Yucca Valley CA
Duarte,CA,21727,Duarte CA
Millburn,NJ,21710,Millburn NJ
Dickinson,TX,21697,Dickinson TX
Park Forest,IL,21687,Park Forest IL
Waxhaw,NC,21673,Waxhaw NC
Alliance,OH,21672,Alliance OH
Lindenwold,NJ,21641,Lindenwold NJ
Ashland,KY,21625,Ashland KY
Lino Lakes,MN,21608,Lino Lakes MN
Vicksburg,MS,21573,Vicksburg MS
Seymour,IN,21569,Seymour IN
Westborough,MA,21567,Westborough MA
Anniston,AL,21564,Anniston AL
Mukilteo,WA,21538,Mukilteo WA
Bloomfield,CT,21535,Bloomfield CT
Yorkville,IL,21533,Yorkville IL
Clemmons,NC,21517,Clemmons NC
Darien,CT,21499,Darien CT
Avon,IN,21474,Avon IN
South Holland,IL,21465,South Holland IL
Dolton,IL,21426,Dolton IL
Elmwood Park,NJ,21422,Elmwood Park NJ
Otsego,MN,21401,Otsego MN
Geneva,IL,21393,Geneva IL
Sedalia ,MO,21387,Sedalia  MO
East Moline,IL,21374,East Moline IL
Ashland,OR,21360,Ashland OR
New Hope,MN,21356,New Hope MN
Moorestown,NJ,21355,Moorestown NJ
South Lake Tahoe,CA,21330,South Lake Tahoe CA
Carrboro,NC,21312,Carrboro NC
Gardner,MA,21287,Gardner MA
Mountlake Terrace,WA,21286,Mountlake Terrace WA
Grayslake,IL,21248,Grayslake IL
Louisville,CO,21226,Louisville CO
Murphy,TX,21219,Murphy TX
Ennis,TX,21210,Ennis TX
Ferguson,MO,21203,Ferguson MO
Stephenville,TX,21199,Stephenville TX
Hyattsville,MD,21187,Hyattsville MD
South Milwaukee,WI,21156,South Milwaukee WI
Milwaukie,OR,21119,Milwaukie OR
Hays ,KS,21116,Hays  KS
Payson,UT,21101,Payson UT
Willmar ,MN,21045,Willmar  MN
Fate,TX,21013,Fate TX
Ludlow,MA,21002,Ludlow MA
Mill Creek,WA,20926,Mill Creek WA
Fort Walton Beach,FL,20922,Fort Walton Beach FL
Lomita,CA,20921,Lomita CA
North Ogden,UT,20916,North Ogden UT
Helena,AL,20914,Helena AL
Lockport,NY,20876,Lockport NY
Parma Heights,OH,20863,Parma Heights OH
Rocky Hill,CT,20845,Rocky Hill CT
Lebanon,OH,20841,Lebanon OH
Bethany,OK,20831,Bethany OK
West St Paul,MN,20822,West St Paul MN
Arnold,MO,20808,Arnold MO
Mineola,NY,20800,Mineola NY
Suwanee,GA,20786,Suwanee GA
Little Egg Harbor Township,NJ,20784,Little Egg Harbor Township NJ
Covington,WA,20777,Covington WA
Battle Ground,WA,20743,Battle Ground WA
Northfield,MN,20729,Northfield MN
Bryant,AK,20663,Bryant AK
Bryant,AR,20663,Bryant AR
Pittsburg,KS,20646,Pittsburg KS
Pleasantville,NJ,20629,Pleasantville NJ
Perry ,GA,20624,Perry  GA
New Canaan,CT,20622,New Canaan CT
Forest Lake,MN,20608,Forest Lake MN
Sidney,OH,20589,Sidney OH
Libertyville,IL,20579,Libertyville IL
La Caada Flintridge,CA,20573,La Caada Flintridge CA
Snellville,GA,20573,Snellville GA
Elko,NV,20564,Elko NV
Jefferson Township,NJ,20538,Jefferson Township NJ
South St Paul,MN,20536,South St Paul MN
Portland,TX,20536,Portland TX
North Liberty,IA,20479,North Liberty IA
Mesquite,NV,20471,Mesquite NV
Crest Hill,IL,20459,Crest Hill IL
Bourne,MA,20452,Bourne MA
Sherwood,OR,20450,Sherwood OR
Marblehead,MA,20441,Marblehead MA
Lynbrook,NY,20438,Lynbrook NY
Westbrook,ME,20400,Westbrook ME
Golden,CO,20399,Golden CO
Saco,ME,20381,Saco ME
Middle Township,NJ,20380,Middle Township NJ
Bethel,CT,20358,Bethel CT
Piqua,OH,20354,Piqua OH
Mayfield Heights,OH,20351,Mayfield Heights OH
Tullahoma,TN,20339,Tullahoma TN
Foley,AL,20335,Foley AL
Hanahan,SC,20325,Hanahan SC
Harvey,IL,20324,Harvey IL
Painesville,OH,20312,Painesville OH
St John,IN,20303,St John IN
Agoura Hills,CA,20299,Agoura Hills CA
Frankfort,IL,20296,Frankfort IL
Palisades Park,NJ,20292,Palisades Park NJ
Montrose,CO,20291,Montrose CO
Albany,CA,20271,Albany CA
Imperial,CA,20263,Imperial CA
Montgomery,IL,20262,Montgomery IL
Sandwich,MA,20259,Sandwich MA
Anna,TX,20243,Anna TX
Coronado,CA,20192,Coronado CA
Forest Park,OH,20189,Forest Park OH
Morristown,NJ,20180,Morristown NJ
Berlin,CT,20175,Berlin CT
Mamaroneck,NY,20151,Mamaroneck NY
Whitehall,OH,20127,Whitehall OH
Westminster,MD,20126,Westminster MD
Hazlet,NJ,20125,Hazlet NJ
Hudson,MA,20092,Hudson MA
Shelbyville,IN,20067,Shelbyville IN
Princeton,TX,20046,Princeton TX
Oroville,CA,20042,Oroville CA
Hurricane,UT,20036,Hurricane UT
Alamo,TX,20017,Alamo TX
Maple Shade Township,NJ,19980,Maple Shade Township NJ
Port Angeles,WA,19960,Port Angeles WA
Shafter,CA,19953,Shafter CA
Oregon,OH,19950,Oregon OH
Lackawanna,NY,19949,Lackawanna NY
Evergreen Park,IL,19943,Evergreen Park IL
Broadview Heights,OH,19936,Broadview Heights OH
Forest Park,GA,19932,Forest Park GA
Miamisburg,OH,19923,Miamisburg OH
Holden,MA,19905,Holden MA
Mokena,IL,19887,Mokena IL
Southbury,CT,19879,Southbury CT
Mustang,OK,19879,Mustang OK
Sand Springs,OK,19874,Sand Springs OK
Arlington,WA,19868,Arlington WA
Plattsburgh,NY,19841,Plattsburgh NY
Liberal ,KS,19825,Liberal  KS
Universal City,TX,19808,Universal City TX
Nogales,AZ,19770,Nogales AZ
Lake Zurich,IL,19759,Lake Zurich IL
Plainview,TX,19739,Plainview TX
Hermosa Beach,CA,19728,Hermosa Beach CA
Monroe,WA,19699,Monroe WA
Grafton,MA,19664,Grafton MA
Brigham City,UT,19650,Brigham City UT
Hawthorne,NJ,19637,Hawthorne NJ
Erlanger,KY,19611,Erlanger KY
Sparta,NJ,19600,Sparta NJ
Hammond,LA,19584,Hammond LA
Claremore ,OK,19580,Claremore  OK
Knightdale,NC,19576,Knightdale NC
Waterford,CT,19571,Waterford CT
South El Monte,CA,19567,South El Monte CA
Altoona,IA,19565,Altoona IA
Rolla ,MO,19559,Rolla  MO
Kinston ,NC,19546,Kinston  NC
Maitland,FL,19543,Maitland FL
Madisonville,KY,19542,Madisonville KY
Sartell,MN,19532,Sartell MN
Lexington ,NC,19516,Lexington  NC
Orinda,CA,19514,Orinda CA
Arvin,CA,19495,Arvin CA
Brookfield,IL,19476,Brookfield IL
Punta Gorda,FL,19471,Punta Gorda FL
Homewood,IL,19463,Homewood IL
Harrison,NJ,19450,Harrison NJ
Los Alamos,NM,19419,Los Alamos NM
Angleton,TX,19401,Angleton TX
Stillwater ,MN,19389,Stillwater  MN
Lake Forest,IL,19367,Lake Forest IL
Seminole,FL,19364,Seminole FL
Sweetwater,FL,19363,Sweetwater FL
Hermiston,OR,19354,Hermiston OR
Highland,UT,19348,Highland UT
Crowley,TX,19333,Crowley TX
Aberdeen Township,NJ,19329,Aberdeen Township NJ
Prichard,AL,19322,Prichard AL
Zachary,LA,19316,Zachary LA
Winthrop,MA,19316,Winthrop MA
Bartow,FL,19309,Bartow FL
Lakeway,TX,19300,Lakeway TX
Maumelle,AK,19251,Maumelle AK
Maumelle,AR,19251,Maumelle AR
Twinsburg,OH,19248,Twinsburg OH
Ashland,OH,19225,Ashland OH
Santa Fe Springs,CA,19219,Santa Fe Springs CA
Raymore,MO,19206,Raymore MO
Norton,MA,19202,Norton MA
Deerfield,IL,19196,Deerfield IL
Tinton Falls,NJ,19181,Tinton Falls NJ
Orange,TX,19169,Orange TX
Winchester,KY,19134,Winchester KY
Marshfield,WI,19118,Marshfield WI
Naples,FL,19115,Naples FL
Boerne,TX,19109,Boerne TX
Cumberland,MD,19076,Cumberland MD
Matteson,IL,19073,Matteson IL
Durango,CO,19071,Durango CO
Alsip,IL,19063,Alsip IL
Scituate,MA,19063,Scituate MA
Springboro,OH,19062,Springboro OH
Norwood,OH,19043,Norwood OH
Cocoa,FL,19041,Cocoa FL
Chowchilla,CA,19039,Chowchilla CA
Gautier,MS,19024,Gautier MS
Pinole,CA,19022,Pinole CA
Nixa,MO,19022,Nixa MO
Sylvania,OH,19011,Sylvania OH
Tavares,FL,19003,Tavares FL
St Michael,MN,19001,St Michael MN
Central Point,OR,18997,Central Point OR
Dixon,CA,18988,Dixon CA
Fayetteville ,GA,18957,Fayetteville  GA
Point Pleasant,NJ,18941,Point Pleasant NJ
Greenfield,CA,18937,Greenfield CA
Sudbury,MA,18934,Sudbury MA
Avon,CT,18932,Avon CT
Ansonia,CT,18918,Ansonia CT
Augusta,ME,18899,Augusta ME
Thomasville ,GA,18881,Thomasville  GA
Alton,TX,18860,Alton TX
Arcata,CA,18857,Arcata CA
Ottawa,IL,18840,Ottawa IL
Warrensburg ,MO,18838,Warrensburg  MO
Martinsburg ,WV,18835,Martinsburg  WV
Rutherford,NJ,18834,Rutherford NJ
Ashland,MA,18832,Ashland MA
Monroe,CT,18825,Monroe CT
Bensenville,IL,18813,Bensenville IL
Weirton,WV,18813,Weirton WV
Seagoville,TX,18805,Seagoville TX
North Myrtle Beach,SC,18790,North Myrtle Beach SC
Bellwood,IL,18789,Bellwood IL
Springfield,TN,18782,Springfield TN
Brownwood,TX,18770,Brownwood TX
Hopkinton,MA,18758,Hopkinton MA
Palestine,TX,18756,Palestine TX
Sheridan,WY,18737,Sheridan WY
Altus ,OK,18729,Altus  OK
Round Lake,IL,18721,Round Lake IL
La Marque,TX,18697,La Marque TX
Lynn Haven,FL,18695,Lynn Haven FL
East Lyme,CT,18693,East Lyme CT
Ellensburg,WA,18666,Ellensburg WA
Foxborough,MA,18618,Foxborough MA
Newton ,KS,18602,Newton  KS
Clive,IA,18601,Clive IA
Brook Park,OH,18595,Brook Park OH
Durant ,OK,18589,Durant  OK
Sycamore,IL,18577,Sycamore IL
Goffstown,NH,18577,Goffstown NH
Sharon,MA,18575,Sharon MA
Hopkins,MN,18573,Hopkins MN
Terrell,TX,18567,Terrell TX
Berea,OH,18545,Berea OH
